연번,시 및 자치구,설 치 위 치,형 태,개수
1,서울시,11개 한강공원,부분 개방형,37
2,종로구,의정부지 금연구역,완전 개방형(라인),1
3,중구,"롯데백화점 측면부(을지로입구역 7번, 8번 출구 사이)",부분 개방형(부스),1
4,중구,KEB하나은행본점 측면부(시청인근),부분 개방형(부스),1
5,중구,KEB하나카드본사 측면부(명동),부분 개방형(부스),1
6,중구,장교빌딩 전면부(구 삼일대로변),부분 개방형(캐노피),1
7,중구,두산타워 전면부,부분 개방형(캐노피),1
8,중구,서울스퀘어 측면부(서울역8번출구),부분 개방형(부스),1
9,중구,한국은행 앞 광장 쉼터 내,부분 개방형,1
10,성동구,왕십리역 6번출구 ,부분 개방형(부스),1
11,성동구,왕십리 북측광장,부분 개방형(가림막),1
12,성동구,성수동 수제화거리,부분 개방형(가림막),1
13,성동구,성수동 디타워 앞,완전 폐쇄형(부스),1
14,성동구,서울숲포휴 앞,완전 폐쇄형(부스),1
15,광진구,동서울터미널,부분 개방형,1
16,광진구,아차산배수지 체육공원,완전 폐쇄형(부스),1
17,노원구,중계근린공원 공용주차장 ,부분 개방형,1
18,노원구,등나무근린공원 공용주차장 ,부분 개방형,1
19,노원구,을지로대학병원 장례식장 앞,부분 개방형,1
20,마포구,상암동 1707 내 ,부분 개방형,1
21,강서구,강서구민회관,부분 개방형,1
22,강서구,마곡레포츠센터,부분 개방형,1
23,구로구,신도링멱 남측광장,부분 개방형,1
24,영등포구,오투타워 앞 A ,부분 개방형,1
25,영등포구,오투타워 앞 B,부분 개방형,1
26,영등포구,오투타워 앞 C,부분 개방형,1
27,영등포구,여의도역(교보증권) 앞,부분 개방형,1
28,영등포구,교직원공제회 앞,부분 개방형,1
29,영등포구,국회의사당역 앞 A,부분 개방형,1
30,영등포구,국회의사당역 앞 B,부분 개방형,1
31,영등포구,한국투자증권 앞,부분 개방형,1
32,영등포구,증권거래소 앞 A,부분 개방형,1
33,영등포구,증권거래소 앞 B,부분 개방형,1
34,동작구,노량진 컵밥거리 금연거리 ,부분 개방형,1
35,서초구,강남역 7~8번 출구 뒤편,부분 개방형,1
36,서초구,방배역 3번출구 북측 30m,부분 개방형,1
37,서초구,방배복개도로 파스텔시티 앞,부분 개방형,1
38,서초구,나산스위트 앞,부분 개방형,1
39,서초구,스타벅스 앞,부분 개방형,1
40,서초구,서울자전거 컨테이너 옆,부분 개방형,1
41,서초구,방배경찰서 앞,부분 개방형,1
42,서초구,그린골프장 앞,부분 개방형,1
43,서초구,양재역 사거리 서희빌딩 옆 이면도로,완전 개방형(라인),1
44,서초구,반포효성빌딩 페라리 매장 앞,부분 개방형,1
45,서초구,반포쇼핑타운 2동 보차도 경계,부분 개방형,1
46,서초구,"반포쇼핑타운 4,5동 보차도 경계",부분 개방형,1
47,서초구,반포쇼핑타운 7동 앞 보차도 경계,개방형(제연시설),1
48,서초구,녹지옆,완전 개방형(라인),1
49,서초구,동산마을 구립주차장,완전 개방형(라인),1
50,서초구,건물후면 양재대로변,완전 개방형(라인),1
51,서초구,건물 앞 녹지사이 보도,완전 개방형(라인),1
52,서초구,건물 앞 보도 끝지점,완전 개방형(라인),1
53,서초구,교보타워 주차장,완전 개방형(라인),1
54,서초구,고속버스터미널역 3번출구 앞 주변,완전 개방형(라인),1
55,서초구,고속터미널 경부선 건물 남쪽 외부 공간,완전 개방형(라인),1
56,서초구,사당역 1~2번출구 사이,부분 개방형,1
57,서초구,고속터미널 광장(호남선),부분 개방형,1
58,서초구,고속터미널 광장(경부선 하차장),부분 개방형,1
59,서초구,서울가정법원 청사계단 옆,부분 개방형,1
60,서초구,카센터 옆,완전 개방형(라인),1
61,서초구,마제스타시티,완전 폐쇄형(부스),1
62,서초구,녹지사이 보도,완전 폐쇄형(부스),1
63,서초구,서초구청,완전 폐쇄형(부스),1
64,서초구,녹지사이 보도,완전 개방형(라인),1
65,서초구,건물 앞 보도,완전 개방형(라인),1
66,서초구,건물 앞 보도,밀폐형(부스),1
67,서초구,진입로 입구,밀폐형(부스),1
68,서초구,느린마을양조장 앞,밀폐형(부스),1
69,서초구,족구장 기존 흡연구역,완전 개방형(라인),1
70,서초구,빌딩 앞 사거리,밀폐형(부스),1
71,서초구,아파트 외부보도,완전 개방형(라인),1
72,서초구,카센터 앞 보도,완전 개방형(라인),1
73,서초구,건물 앞 보도,밀폐형(부스),1
74,서초구,건물 앞 보도,밀폐형(부스),1
75,서초구,엘타워 주차장 입구,완전 개방형(라인),1
76,서초구,양재환승주차장 옆,완전 개방형(라인),1
77,서초구,평가옥 앞,밀폐형(부스),1
78,서초구,한성생고기 앞,완전 개방형(라인),1
79,서초구,띠녹지 안,밀폐형(부스),1
80,서초구,AT센터 앞,밀폐형(부스),1
81,서초구,서초종합체육관 앞,부분 개방형,1
82,서초구,매헌윤봉길기념관 주차장 우측(※흡연부스 설치지원),부분개방형,1
