년도,흡연단속,건수,구성내용,데이터기준일자
2016,민원제기,1564,응답소+상담민원+구청장에게바란다+유선전화,2024-04-12
2016,위반단속,782,서울시세외수입종합시스템,2024-04-12
2017,민원제기,1344,응답소+상담민원+구청장에게바란다+유선전화,2024-04-12
2017,위반단속,672,서울시세외수입종합시스템,2024-04-12
2018,민원제기,1392,응답소+상담민원+구청장에게바란다+유선전화,2024-04-12
2018,위반단속,696,서울시세외수입종합시스템,2024-04-12
2019,민원제기,1074,응답소+상담민원+구청장에게바란다+유선전화,2024-04-12
2019,위반단속,537,서울시세외수입종합시스템,2024-04-12
2020,민원제기,1530,응답소+상담민원+구청장에게바란다+유선전화,2024-04-12
2020,위반단속,765,서울시세외수입종합시스템,2024-04-12
2021,민원제기,918,응답소+상담민원+구청장에게바란다+유선전화,2024-04-12
2021,위반단속,889,서울시세외수입종합시스템,2024-04-12
2022,민원제기,1425,응답소+상담민원+구청장에게바란다+유선전화,2024-04-12
2022,위반단속,916,서울시세외수입종합시스템,2024-04-12
2023,민원제기,736,응답소+상담민원+구청장에게바란다+유선전화,2024-04-12
2023,위반단속,880,서울시세외수입종합시스템,2024-04-12
