연번,상호명,동,업종,흡연실구분,흡연시설형태,데이터기준일,
1.0,나인브릭,서교동,관광숙박업소,실외,개방형,45420.0,
2.0,로이넷 호텔 서울 마포,도화동,관광숙박업소,실외,개방형,45420.0,
3.0,신라스테이 마포,도화동,관광숙박업소,실외,개방형,45420.0,
4.0,㈜호텔롯데 롯데시티 ,공덕동,관광숙박업소,실외,개방형,45420.0,
5.0,마포농수산물시장,상암동,대규모점포,지하상점가,실외,개방형,45420.0,
6.0,태화 샘솟는집,아현동,사회복지시설,실외,개방형,45420.0,
7.0,서부운전면허시험장,상암동,청사,실외,개방형,45420.0,
8.0,O2PC방,도화동,게임제공업소,실내,밀폐형,45420.0,
9.0,제노피시방(동교점),동교동,게임제공업소,실내,밀폐형,45420.0,
10.0,이룸PC,도화동,게임제공업소,실내,밀폐형,45420.0,
11.0,호텔 나루,마포동,관광숙박업소,실내,밀폐형,45420.0,
12.0,쓰리팝 PC CAFE,공덕동,게임제공업소,실내,밀폐형,45420.0,
13.0,긱스타 PC카페,상암동,게임제공업소,실내,밀폐형,45420.0,
14.0,이마트 공덕점,신공덕동,대규모점포,지하상점가,실내,밀폐형,45420.0,
15.0,서강PC,신수동,게임제공업소,실내,밀폐형,45420.0,
16.0,공간PC,신수동,게임제공업소,실내,밀폐형,45420.0,
17.0,넥스트 PC 서강대점,신수동,게임제공업소,실내,밀폐형,45420.0,
18.0,아이센스리그PC신촌본점,노고산동,게임제공업소,실내,밀폐형,45420.0,
19.0,3POP PC방,노고산동,게임제공업소,실내,밀폐형,45420.0,
20.0,VRIZ PC CAFE,동교동,게임제공업소,실내,밀폐형,45420.0,
21.0,SNS PC,동교동,게임제공업소,실내,밀폐형,45420.0,
22.0,합정 게임랜드,합정동,게임제공업소,실내,밀폐형,45420.0,
23.0,아이쩡피씨방,서교동,게임제공업소,실내,밀폐형,45420.0,
24.0,쓰리팝 PC CAFE,합정동,게임제공업소,실내,밀폐형,45420.0,
25.0,라인업PC방,당인동,게임제공업소,실내,밀폐형,45420.0,
26.0,샘 피시방 (SAEM PC방),연남동,게임제공업소,실내,밀폐형,45420.0,
27.0,3POP PC방(상수점),상수동,게임제공업소,실내,밀폐형,45420.0,
28.0,긱스타 PC방,서교동,게임제공업소,실내,밀폐형,45420.0,
29.0,마포구청,성산동,청사,실내,밀폐형,45420.0,
30.0,3POP PC,서교동,게임제공업소,실내,밀폐형,45420.0,
31.0,긱스타 PC CAFE,합정동,게임제공업소,실내,밀폐형,45420.0,
32.0,옥스 PC방(OX PC방),상암동,게임제공업소,실내,밀폐형,45420.0,
33.0,텐PC CAFE,상암동,게임제공업소,실내,밀폐형,45420.0,
34.0,텐PC CAFE,상암동,게임제공업소,실내,밀폐형,45420.0,
35.0,로드피씨,용강동,게임제공업소,실내,밀폐형,45420.0,
36.0,3POP PC,용강동,게임제공업소,실내,밀폐형,45420.0,
37.0,라운지 플스방,서교동,게임제공업소,실외,완전개방형,45420.0,
38.0,스탠포드호텔,상암동,관광숙박업소,실외,폐쇄형,45420.0,
39.0,한국여성의집,연남동,사회복지시설,실외,폐쇄형,45420.0,
